CommitId;RefactoringType;RefactoringDetail
bbfa8eb7df16baf17239b412ff7efa11c7e0926b;Extract And Move Method;Extract And Move Method	private appendDigits(buffer StringBuffer, value int) : void extracted from public appendTo(buffer StringBuffer, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.PaddedNumberField & moved to class org.apache.commons.lang3.time.FastDatePrinter
bbfa8eb7df16baf17239b412ff7efa11c7e0926b;Extract And Move Method;Extract And Move Method	private appendDigits(buffer StringBuffer, value int) : void extracted from public appendTo(buffer StringBuffer, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitNumberField & moved to class org.apache.commons.lang3.time.FastDatePrinter
bbfa8eb7df16baf17239b412ff7efa11c7e0926b;Extract And Move Method;Extract And Move Method	private appendDigits(buffer StringBuffer, value int) : void extracted from public appendTo(buffer StringBuffer, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitYearField & moved to class org.apache.commons.lang3.time.FastDatePrinter
bbfa8eb7df16baf17239b412ff7efa11c7e0926b;Extract And Move Method;Extract And Move Method	private appendDigits(buffer StringBuffer, value int) : void extracted from public appendTo(buffer StringBuffer, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitMonthField & moved to class org.apache.commons.lang3.time.FastDatePrinter
bbfa8eb7df16baf17239b412ff7efa11c7e0926b;Extract And Move Method;Extract And Move Method	private appendDigits(buffer StringBuffer, value int) : void extracted from public appendTo(buffer StringBuffer, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.TimeZoneNumberRule & moved to class org.apache.commons.lang3.time.FastDatePrinter
10e18ae9b47dfe04573884739823d64825105694;Rename Variable;Rename Variable	digits : int to index : int in method public appendTo(buffer StringBuffer, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.PaddedNumberField
c8e96c0c733ea06ac7481c85f04a8e10ae262ec1;Extract Variable;Extract Variable	exec : ExecutorService in method public testSetExternalExecutorAfterStart() : void from class org.apache.commons.lang3.concurrent.BackgroundInitializerTest
2f62425c31dca0435c756e51289a5fc9dbaa5a94;Change Attribute Type;Change Attribute Type	lookupMap : HashMap<String,CharSequence> to lookupMap : HashMap<String,String> in class org.apache.commons.lang3.text.translate.LookupTranslator
2f62425c31dca0435c756e51289a5fc9dbaa5a94;Change Variable Type;Change Variable Type	result : CharSequence to result : String in method public translate(input CharSequence, index int, out Writer) : int in class org.apache.commons.lang3.text.translate.LookupTranslator
dfaa656f02d6339119af17ff39b1c183d9dc3a7d;Inline Variable;Inline Variable	anotherVal : double in method public compareTo(other MutableDouble) : int from class org.apache.commons.lang3.mutable.MutableDouble
dfaa656f02d6339119af17ff39b1c183d9dc3a7d;Inline Variable;Inline Variable	anotherVal : float in method public compareTo(other MutableFloat) : int from class org.apache.commons.lang3.mutable.MutableFloat
