CommitId;RefactoringType;RefactoringDetail
bcb33ec1c7c4aa98758d1561c8b695737d0a15d5;Rename Class;Rename Class	org.apache.commons.lang3.test.SwitchDefaults renamed to org.apache.commons.lang3.test.SystemDefaultsSwitch
bcb33ec1c7c4aa98758d1561c8b695737d0a15d5;Change Attribute Type;Change Attribute Type	defaults : SwitchDefaults to defaults : SystemDefaultsSwitch in class org.apache.commons.lang3.StringUtilsEqualsIndexOfTest
bcb33ec1c7c4aa98758d1561c8b695737d0a15d5;Change Attribute Type;Change Attribute Type	defaults : SwitchDefaults to defaults : SystemDefaultsSwitch in class org.apache.commons.lang3.time.DateFormatUtilsTest
bcb33ec1c7c4aa98758d1561c8b695737d0a15d5;Change Attribute Type;Change Attribute Type	defaults : SwitchDefaults to defaults : SystemDefaultsSwitch in class org.apache.commons.lang3.time.DateUtilsTest
bcb33ec1c7c4aa98758d1561c8b695737d0a15d5;Change Attribute Type;Change Attribute Type	defaults : SwitchDefaults to defaults : SystemDefaultsSwitch in class org.apache.commons.lang3.time.FastDateFormatTest
bcb33ec1c7c4aa98758d1561c8b695737d0a15d5;Change Attribute Type;Change Attribute Type	defaults : SwitchDefaults to defaults : SystemDefaultsSwitch in class org.apache.commons.lang3.time.FastDatePrinterTest
71d7c3264239c55b6e2daf89c44c5685085f26dd;Change Attribute Type;Change Attribute Type	tzNames : SortedMap<String,TimeZone> to tzNames : Map<String,TimeZone> in class org.apache.commons.lang3.time.FastDateParser.TimeZoneStrategy
71d7c3264239c55b6e2daf89c44c5685085f26dd;Rename Variable;Rename Variable	zone : String[] to zoneNames : String[] in method package TimeZoneStrategy(locale Locale) in class org.apache.commons.lang3.time.FastDateParser.TimeZoneStrategy
a48071b0d489420bfdc0c2ed7254d1dba243f700;Extract Method;Extract Method	public addListener(listener L, allowDuplicate boolean) : void extracted from public addListener(listener L) : void in class org.apache.commons.lang3.event.EventListenerSupport
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Change Variable Type;Change Variable Type	currentStrategy : Strategy to field : StrategyAndWidth in method private init(definingCalendar Calendar) : void in class org.apache.commons.lang3.time.FastDateParser
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Rename Variable;Rename Variable	currentStrategy : Strategy to field : StrategyAndWidth in method private init(definingCalendar Calendar) : void in class org.apache.commons.lang3.time.FastDateParser
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Extract Variable;Extract Variable	pp : ParsePosition in method public parse(source String) : Date from class org.apache.commons.lang3.time.FastDateParser
