CommitId;RefactoringType;RefactoringDetail
d467f5368f65aca65d6ebd81f3d9fb7bec4967b4;Extract Variable;Extract Variable	factory : TransformerFactory in method private getNodeContent(node Node) : String from class org.apache.jmeter.util.XPathUtil
d467f5368f65aca65d6ebd81f3d9fb7bec4967b4;Extract Variable;Extract Variable	factory : TransformerFactory in method public formatXml(xml String) : String from class org.apache.jmeter.util.XPathUtil
d467f5368f65aca65d6ebd81f3d9fb7bec4967b4;Extract Variable;Extract Variable	factory : DocumentBuilderFactory in method private load(xpath String) : NodeList from class org.apache.jmeter.functions.XPathFileContainer
105a3999f44c73200fb08c249e120937840ee799;Rename Variable;Rename Variable	rem : CLOption to remoteTest : CLOption in method public start(args String[]) : void in class org.apache.jmeter.JMeter
105a3999f44c73200fb08c249e120937840ee799;Rename Method;Rename Method	public run() : void renamed to private endTest(isDistributed boolean) : void in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Inline Method;Inline Method	private generateReport() : void inlined to private endTest(isDistributed boolean) : void in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Change Parameter Type;Change Parameter Type	engines : List<JMeterEngine> to runMode : RunMode in method public ListenToTest(runMode RunMode, remoteStop boolean, reportGenerator ReportGenerator) in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Rename Parameter;Rename Parameter	engines : List<JMeterEngine> to runMode : RunMode in method public ListenToTest(runMode RunMode, remoteStop boolean, reportGenerator ReportGenerator) in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Rename Variable;Rename Variable	e : JMeterEngine to engine : JMeterEngine in method private endTest(isDistributed boolean) : void in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Rename Attribute;Rename Attribute	startedEngines : AtomicInteger to startedRemoteEngines : AtomicInteger in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Rename Attribute;Rename Attribute	engines : List<JMeterEngine> to runMode : RunMode in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Change Attribute Type;Change Attribute Type	engines : List<JMeterEngine> to runMode : RunMode in class org.apache.jmeter.JMeter.ListenToTest
105a3999f44c73200fb08c249e120937840ee799;Extract Variable;Extract Variable	engine : JMeterEngine in method public start(addresses List<String>) : void from class org.apache.jmeter.engine.DistributedRunner
c5f2ad8c467abeae70356f20ee96df92742acada;Change Return Type;Change Return Type	Component to JComponent in method private makeMainPanel() : JComponent in class org.apache.jmeter.config.gui.ArgumentsPanel
c9fb919cc48be23847183360e070925a0bcc7c35;Extract Method;Extract Method	private tryEval(code String) : void extracted from public testEnded(host String) : void in class org.apache.jmeter.util.BeanShellTestElement
c9fb919cc48be23847183360e070925a0bcc7c35;Extract Method;Extract Method	private tryEval(code String) : void extracted from public testStarted(host String) : void in class org.apache.jmeter.util.BeanShellTestElement
c9fb919cc48be23847183360e070925a0bcc7c35;Extract Method;Extract Method	private tryEvalNoLog(code String) : void extracted from public threadStarted() : void in class org.apache.jmeter.util.BeanShellTestElement
c9fb919cc48be23847183360e070925a0bcc7c35;Extract Method;Extract Method	private tryEvalNoLog(code String) : void extracted from public threadFinished() : void in class org.apache.jmeter.util.BeanShellTestElement
c9fb919cc48be23847183360e070925a0bcc7c35;Extract Method;Extract Method	private tryEvalNoLog(code String) : void extracted from public testEnded() : void in class org.apache.jmeter.util.BeanShellTestElement
c9fb919cc48be23847183360e070925a0bcc7c35;Extract Method;Extract Method	private tryEvalNoLog(code String) : void extracted from public testStarted() : void in class org.apache.jmeter.util.BeanShellTestElement
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private handleSingleResult(vars JMeterVariables, matchNumber int, currentRefName String, extractedValues List<Object>) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private handleListResult(vars JMeterVariables, defaultValues String[], i int, matchNumber int, currentRefName String, extractedValues List<Object>) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private handleNonEmptyResult(vars JMeterVariables, defaultValues String[], i int, matchNumber int, currentRefName String, extractedValues List<Object>) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private validateSameLengthOfArguments(refNames String[], jsonPathExpressions String[], defaultValues String[]) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private handleEmptyResult(vars JMeterVariables, defaultValues String[], i int, matchNumber int, currentRefName String) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private handleEmptyResponse(vars JMeterVariables, defaultValues String[], i int, currentRefName String) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
0fea74dcd6b08a2ee441200c7c6f405bdc4a7cab;Extract Method;Extract Method	private extractJsonResponse(context JMeterContext, vars JMeterVariables) : String extracted from public process() : void in class org.apache.jmeter.extractor.json.jsonpath.JSONPostProcessor
598eb15b8ccb8ea0b1c9416367572884724cc969;Extract Method;Extract Method	private handleSingleResult(vars JMeterVariables, refName String, matchNumber int, resultList List<String>) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jmespath.JMESPathExtractor
598eb15b8ccb8ea0b1c9416367572884724cc969;Extract Method;Extract Method	private handleListResult(vars JMeterVariables, refName String, defaultValue String, matchNumber int, resultList List<String>) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jmespath.JMESPathExtractor
598eb15b8ccb8ea0b1c9416367572884724cc969;Extract Method;Extract Method	private handleNullResult(vars JMeterVariables, refName String, defaultValue String, matchNumber int) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jmespath.JMESPathExtractor
598eb15b8ccb8ea0b1c9416367572884724cc969;Extract Method;Extract Method	private handleEmptyResponse(vars JMeterVariables, refName String, defaultValue String) : void extracted from public process() : void in class org.apache.jmeter.extractor.json.jmespath.JMESPathExtractor
2ac8052789a1ceafd5db712be2d1366f3b542426;Extract Method;Extract Method	private addNegation(invert boolean, message StringBuilder) : void extracted from private buildFailureMessage(invert boolean) : String in class org.apache.jmeter.assertions.jmespath.JMESPathAssertion
2ac8052789a1ceafd5db712be2d1366f3b542426;Extract Method;Extract Method	private addNegation(invert boolean, message StringBuilder) : void extracted from private buildFailureMessage(invert boolean) : String in class org.apache.jmeter.assertions.jmespath.JMESPathAssertion
2ac8052789a1ceafd5db712be2d1366f3b542426;Extract Method;Extract Method	private addNegation(invert boolean, message StringBuilder) : void extracted from private buildFailureMessage(invert boolean) : String in class org.apache.jmeter.assertions.jmespath.JMESPathAssertion
2ac8052789a1ceafd5db712be2d1366f3b542426;Extract Method;Extract Method	private addNegation(invert boolean, message StringBuilder) : void extracted from private buildFailureMessage(invert boolean) : String in class org.apache.jmeter.assertions.jmespath.JMESPathAssertion
5853f60e0fcd6c0a559ab1cac83a2b6a9b18fb79;Change Return Type;Change Return Type	TProperty to T in method protected getPropertyFromConfig(cfg SubConfiguration, property String, defaultValue T, clazz Class<T>) : T in class org.apache.jmeter.report.dashboard.AbstractDataExporter
5853f60e0fcd6c0a559ab1cac83a2b6a9b18fb79;Change Parameter Type;Change Parameter Type	defaultValue : TProperty to defaultValue : T in method protected getPropertyFromConfig(cfg SubConfiguration, property String, defaultValue T, clazz Class<T>) : T in class org.apache.jmeter.report.dashboard.AbstractDataExporter
5853f60e0fcd6c0a559ab1cac83a2b6a9b18fb79;Change Parameter Type;Change Parameter Type	clazz : Class<TProperty> to clazz : Class<T> in method protected getPropertyFromConfig(cfg SubConfiguration, property String, defaultValue T, clazz Class<T>) : T in class org.apache.jmeter.report.dashboard.AbstractDataExporter
5853f60e0fcd6c0a559ab1cac83a2b6a9b18fb79;Change Parameter Type;Change Parameter Type	visitor : ResultDataVisitor<TVisit> to visitor : ResultDataVisitor<T> in method private addResultToContext(resultKey String, storage Map<String,Object>, dataContext DataContext, visitor ResultDataVisitor<T>) : void in class org.apache.jmeter.report.dashboard.HtmlTemplateExporter
5853f60e0fcd6c0a559ab1cac83a2b6a9b18fb79;Change Parameter Type;Change Parameter Type	visitor : ResultDataVisitor<TVisit> to visitor : ResultDataVisitor<T> in method private addResultToContext(resultKey String, storage Map<String,Object>, dataContext DataContext, visitor ResultDataVisitor<T>, customizer ResultCustomizer, checker ResultChecker) : void in class org.apache.jmeter.report.dashboard.HtmlTemplateExporter
b6fc9b4724a7c63d499c87ac0c4f4e17893fcbbf;Move Source Folder;Move Source Folder	src/protocol/http/src/test to src/testkit-wiremock/src/main
b6fc9b4724a7c63d499c87ac0c4f4e17893fcbbf;Extract Variable;Extract Variable	firstResult : AssertionResult in method public testInvalidXpath() : void from class org.apache.jmeter.extractor.TestXPathExtractor
6fd5e73852f9bf81c1017a78590acb564de31044;Rename Method;Rename Method	public testTemplateFile() : void renamed to public testValidTemplateFile() : void in class org.apache.jmeter.gui.action.template.TestTemplateManager
6fd5e73852f9bf81c1017a78590acb564de31044;Inline Variable;Inline Variable	templateManager : TemplateManager in method public testInvalidTemplateXml() : void from class org.apache.jmeter.gui.action.template.TestTemplateManager
6fd5e73852f9bf81c1017a78590acb564de31044;Rename Parameter;Rename Parameter	obj : Object to o : Object in method public equals(o Object) : boolean in class org.apache.jmeter.gui.action.template.Template
ce0870f60d2ff40d980a84d37267a5c73645447b;Move Class;Move Class	org.apache.jmeter.test.ResourceLocator moved to org.apache.jmeter.testkit.ResourceLocator
ce0870f60d2ff40d980a84d37267a5c73645447b;Extract Method;Extract Method	private eq(a CSVRead, expected String) : void extracted from public testCSVNoFile() : void in class org.apache.jmeter.functions.CSVReadFunctionTest
ce0870f60d2ff40d980a84d37267a5c73645447b;Parameterize Variable;Parameterize Variable	cr1 : CSVRead to a : CSVRead in method private eq(a CSVRead, expected String) : void in class org.apache.jmeter.functions.CSVReadFunctionTest
ce0870f60d2ff40d980a84d37267a5c73645447b;Extract Method;Extract Method	private eq(a CSVRead, expected String) : void extracted from public testCSValias() : void in class org.apache.jmeter.functions.CSVReadFunctionTest
ce0870f60d2ff40d980a84d37267a5c73645447b;Parameterize Variable;Parameterize Variable	cr1 : CSVRead to a : CSVRead in method private eq(a CSVRead, expected String) : void in class org.apache.jmeter.functions.CSVReadFunctionTest
ce0870f60d2ff40d980a84d37267a5c73645447b;Extract Method;Extract Method	private eq(a CSVRead, expected String) : void extracted from public CSVRun() : void in class org.apache.jmeter.functions.CSVReadFunctionTest
ce0870f60d2ff40d980a84d37267a5c73645447b;Parameterize Variable;Parameterize Variable	cr1 : CSVRead to a : CSVRead in method private eq(a CSVRead, expected String) : void in class org.apache.jmeter.functions.CSVReadFunctionTest
